question,expected_source,retrieved_source_top1,retrieved_source_top_k,answer,expected_source_retrieved,citation_present,automatic_correct
How long is a day on Mars?,mars_facts,mars_facts,"mars_facts, mars_facts, mars_facts, mars_facts","According to the retrieved context, a day on Mars, also known as a sol, is approximately 24.6 hours long.",True,False,False
Why does Mars look red?,mars_facts,mars_facts,"mars_facts, mars_facts, mars_facts, mars_facts","According to [Source 1], Mars looks red due to oxidization — or rusting — of iron in the rocks, regolith (Martian ""soil""), and dust of Mars.",True,True,True
What evidence suggests Mars had water in the past?,mars_facts,mars_facts,"mars_facts, perseverance, mars_facts, mars_facts","According to [Source 1] and [Source 2], evidence suggests Mars had water in the past due to the presence of ancient river valley networks, deltas, and lakebeds, as well as rocks and minerals on the surface that could only have formed in liquid water. Additionally, features such as Jezero Crater, which was once flooded with water and had a lake, provide further evidence of Mars' watery past.",True,True,True
What is Perseverance searching for on Mars?,perseverance,perseverance_science,"perseverance_science, perseverance, perseverance, ingenuity","According to [Source 1] and [Source 2], Perseverance is searching for signs of ancient microbial life on Mars.",True,True,True
Why is Jezero Crater scientifically important to Perseverance?,perseverance_science,perseverance,"perseverance, perseverance, perseverance, perseverance_science","According to [Source 1] and [Source 4], Jezero Crater is scientifically important to Perseverance because it was once flooded with water and was home to an ancient river delta. Scientists believe that this area was likely friendly to life in the distant past, and the rover is exploring the site to study its past conditions and seek signs of past life. The crater's unique geology, including a stable lake, delta, and river system, makes it an ideal location for searching for biosignatures.",True,True,True
What was the main objective of the Curiosity rover?,curiosity,curiosity,"curiosity, curiosity, curiosity, perseverance","According to [Source 3], the main objective of the Curiosity rover was to determine if Mars was ever able to support microbial life.",True,True,True
What is Curiosity investigating at Gale Crater?,curiosity_science,curiosity,"curiosity, curiosity_science, curiosity_science, perseverance","According to [Source 1] and [Source 2], Curiosity is investigating the past habitability of Mars at Gale Crater, specifically looking for evidence of organics, the chemical building blocks of life.",True,True,True
What part of Mars did InSight study?,insight,insight_science,"insight_science, insight, insight_science, insight","According to [Source 1] and [Source 4], InSight studied the interior structure and processes of Mars, specifically the crust, mantle, and core, as well as the planet's thermal activity and seismic activity.

Additionally, [Source 3] mentions that InSight studied the deep interior of Mars, which includes the planet's vital signs such as its pulse, temperature, and reflexes.

It is not specified in the provided context which specific part of Mars InSight studied, but it is mentioned that the landing site was Elysium Planitia.",True,True,True
What did InSight learn using seismic measurements?,insight_science,insight_science,"insight_science, insight_science, insight, insight",I don't know based on the provided NASA documents.,True,False,False
What historic achievement did the Ingenuity helicopter demonstrate?,ingenuity,ingenuity,"ingenuity, ingenuity, perseverance, ingenuity","The Ingenuity helicopter demonstrated the first powered, controlled flight on another planet, which is often referred to as a ""Wright Brothers moment.""",True,False,False
